"BehaviorSpace results (NetLogo 6.2.0)"
"working probabilistic flooding in traffic.nlogo"
"experiment"
"12/27/2020 21:43:38:184 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-8","8"
"[run number]","number-of-cars","p","[step]","perc-nodes-reached","nodes-reached"
"8","50","0","0","0","0"
"5","50","0","0","0","0"
"6","50","0","0","0","0"
"3","50","0","0","0","0"
"4","50","0","0","0","0"
"9","50","0","0","0","0"
"2","50","0","0","0","0"
"10","50","0","0","0","0"
"11","50","0","0","0","0"
"7","50","0","0","0","0"
"12","50","0","0","0","0"
"16","50","0","0","0","0"
"13","50","0","0","0","0"
"17","50","0","0","0","0"
"15","50","0","0","0","0"
"18","50","0","0","0","0"
"14","50","0","0","0","0"
"20","50","0","0","0","0"
"21","50","0","0","0","0"
"23","50","0","0","0","0"
"22","50","0","0","0","0"
"24","50","0","0","0","0"
"25","50","0","0","0","0"
"26","50","0","0","0","0"
"27","50","0","0","0","0"
"28","50","0","0","0","0"
"29","50","0","0","0","0"
"30","50","0","0","0","0"
"32","50","0","0","0","0"
"1","50","0","0","0","0"
"31","50","0","0","0","0"
"33","50","0","0","0","0"
"34","50","0","0","0","0"
"35","50","0","0","0","0"
"37","50","0","0","0","0"
"40","50","0","0","0","0"
"36","50","0","0","0","0"
"41","50","0","0","0","0"
"39","50","0","0","0","0"
"42","50","0","0","4.545454545454546","1"
"43","50","0","0","0","0"
"19","50","0","0","0","0"
"44","50","0","0","4.761904761904762","1"
"46","50","0","0","0","0"
"47","50","0","0","0","0"
"45","50","0","0","0","0"
"48","50","0","0","0","0"
"49","50","0","0","0","0"
"51","50","0","0","0","0"
"52","50","0","0","0","0"
"53","50","0","0","0","0"
"54","50","0","0","0","0"
"50","50","0","0","0","0"
"38","50","0","0","0","0"
"57","50","0","0","0","0"
"56","50","0","0","0","0"
"55","50","0","0","0","0"
"63","50","0","0","0","0"
"64","50","0","0","0","0"
"60","50","0","0","0","0"
"61","50","0","0","0","0"
"58","50","0","0","0","0"
"59","50","0","0","3.8461538461538463","1"
"65","50","0","0","0","0"
"66","50","0","0","0","0"
"68","50","0","0","0","0"
"67","50","0","0","0","0"
"69","50","0","0","0","0"
"72","50","0","0","0","0"
"73","50","0","0","0","0"
"70","50","0","0","0","0"
"71","50","0","0","0","0"
"74","50","0","0","0","0"
"77","50","0","0","0","0"
"75","50","0","0","0","0"
"76","50","0","0","0","0"
"78","50","0","0","0","0"
"80","50","0","0","0","0"
"79","50","0","0","0","0"
"83","50","0","0","0","0"
"84","50","0","0","0","0"
"85","50","0","0","0","0"
"86","50","0","0","0","0"
"88","50","0","0","0","0"
"89","50","0","0","0","0"
"82","50","0","0","0","0"
"81","50","0","0","0","0"
"87","50","0","0","0","0"
"91","50","0","0","0","0"
"90","50","0","0","0","0"
"92","50","0","0","0","0"
"93","50","0","0","0","0"
"95","50","0","0","0","0"
"96","50","0","0","0","0"
"94","50","0","0","0","0"
"100","50","0","0","0","0"
"99","50","0","0","0","0"
"102","50","5","0","0","0"
"101","50","5","0","5.88235294117647","1"
"62","50","0","0","0","0"
"98","50","0","0","0","0"
"97","50","0","0","0","0"
"104","50","5","0","0","0"
"103","50","5","0","7.142857142857142","2"
"106","50","5","0","0","0"
"105","50","5","0","0","0"
"107","50","5","0","0","0"
"110","50","5","0","0","0"
"112","50","5","0","0","0"
"111","50","5","0","0","0"
